ID,EDUCATION,ECONMIC
P00004212,5,0
P00004217,3,0
P00004233,3,1
P00004254,2,0
P00004276,1,1
P00004307,1,2
P00004314,2,
P00004356,4,0
P00004443,3,0
P00004450,1,0
P00004469,3,1
P00004524,2,0
P00004586,2,1
P00004639,2,0
P00004660,2,0
P00004778,1,
P00004781,3,0
P00004817,2,0
P00004915,2,0
P00004929,2,0
P00005036,2,0
P00005042,5,0
P00005199,2,0
P00005220,5,0
P00005323,5,1
P00005350,2,0
P00005373,3,1
P00005375,5,1
P00005382,1,0
P00005383,4,0
P00005385,3,0
P00005387,5,1
P00974511,5,0
P00005390,5,0
P00005391,3,0
P00005393,2,2
P00005396,3,0
P00005405,5,0
P00005409,2,0
P00005416,2,0
P00974520,3,0
P00005419,2,0
P00974538,3,0
P00974541,2,1
P00005460,3,1
P00974568,4,0
P00974569,5,0
P00005463,2,0
P00005466,1,0
P00974579,7,0
P00005476,2,0
P00005481,5,1
P00005490,3,0
P00005491,3,1
P00005492,2,0
P00974594,7,0
P00005508,2,0
P00974600,3,1
P00005516,3,2
P00974613,3,0
P00005521,3,0
P00005527,3,0
P00005538,4,1
P00005541,2,1
P00005542,3,1
P00974638,2,0
P00005560,5,1
P00005562,5,0
P00974666,3,1
P00974673,3,1
P00005574,5,1
P00005575,2,0
P00005582,2,0
P00974693,5,0
P00005593,7,1
P00005602,3,0
P00005606,4,1
P00005612,5,0
P00005616,2,0
P00974704,5,2
P00005622,4,0
P00974710,3,0
P00974730,3,0
P00974731,2,0
P00974732,3,0
P00974747,2,1
P00005658,4,1
P00974752,1,0
P00974754,3,1
P00005679,4,1
P00005681,3,1
P00005690,3,2
P00005702,5,0
P00005714,4,1
P00005745,3,1
P00974818,3,1
P00974838,4,1
P00005764,5,1
P00974848,2,0
P00005765,5,0
P00005777,2,0
P00974867,5,1
P00974874,2,0
P00005796,7,0
P00005818,5,1
P00005829,5,1
P00974894,7,1
P00005847,2,0
P00974911,2,1
P00005863,2,0
P00005878,3,0
P00974924,2,1
P00005900,3,0
P00974927,3,0
P00974929,2,1
P00005905,5,0
P00005913,3,1
P00005916,5,1
P00005920,2,0
